2025-03-16 20:39:27.609234 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\tap 2025-03-16 20-39-27.txt'. [1.41 ms]
2025-03-16 20:39:29.633884 ; Session        ; Debug       ; Running '.\tap  package create "C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\\package.xml" --install' in 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release'.
2025-03-16 20:39:29.661102 ; AssemblyFinder ; Debug       ; Found 8/29 assembly files. [6.27 ms]
2025-03-16 20:39:29.680118 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-16 20:39:29.699650 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-16 20:39:29.775780 ; Searcher       ; Debug       ; Ordered 7 assemblies according to references. [85.7 ms]
2025-03-16 20:39:29.822467 ; PluginManager  ; Debug       ; Found 4 plugin assemblies containing 226 plugin types. [133 ms]
2025-03-16 20:39:29.822467 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-16 20:39:29.822467 ; PluginManager  ; Debug       ; Found version 0.0.0            of InterconnectIOBox.dll
2025-03-16 20:39:29.822467 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
2025-03-16 20:39:29.822467 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Plugins.BasicSteps.dll
2025-03-16 20:39:29.822467 ; PluginManager  ; Debug       ; Searched 8 Assemblies. [135 ms]
2025-03-16 20:39:29.838007 ; AssemblyData   ; Debug       ; Loaded OpenTap. [257 us]
2025-03-16 20:39:29.857529 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [5.48 ms]
2025-03-16 20:39:29.875557 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\SessionLog 2025-03-16 20-39-27.txt'. [1.83 ms]
2025-03-16 20:39:29.884072 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.45 ms]
2025-03-16 20:39:29.893098 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-03-16 20:39:29.893098 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9290.0
2025-03-16 20:39:29.893098 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.0+11e5348d X64
2025-03-16 20:39:29.902620 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [3.72 ms]
2025-03-16 20:39:29.936676 ; AssemblyData   ; Debug       ; Loaded mscorlib. [400 ns]
2025-03-16 20:39:29.968732 ; CLI            ; Debug       ; Executing CLI action: package \ create
2025-03-16 20:39:29.978243 ; VariableExpander ; Debug       ; Initialized variable expander:
2025-03-16 20:39:29.986255 ; Resolver       ; Debug       ; Found match for LibGit2Sharp, Version=0.27.0.0, Culture=neutral, PublicKeyToken=7cbde695407f0333 in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\LibGit2Sharp.0.27.0.0\LibGit2Sharp.dll
2025-03-16 20:39:30.039854 ; Installation   ; Debug       ; FTS_InterconnectIOBox    - 0.0.1-beta.1+317055aa
2025-03-16 20:39:30.039854 ; Installation   ; Debug       ; OpenTAP                  - 9.27.0+11e5348d
