2025-03-16 16:07:48.126239 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\SessionLogs\Editor 2025-03-16 16-07-47.txt'. [2.02 ms]
2025-03-16 16:07:48.151908 ; Session        ; Debug       ; Running '"C:\Station_de_test\OpenTAP_IObox\OpenTAP_IOBox\bin\Debug\Editor.exe" ' in 'C:\Station_de_test\OpenTAP_IObox\OpenTAP_IOBox\bin\Debug'.
2025-03-16 16:07:48.224911 ; AssemblyFinder ; Debug       ; Found 21/63 assembly files. [11.4 ms]
2025-03-16 16:07:48.235571 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.27.0.0, Culture=neutral, PublicKeyToken=null in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2025-03-16 16:07:48.235571 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-16 16:07:48.393218 ; AssemblyFinder ; Debug       ; Found 21/63 assembly files. [9.95 ms]
2025-03-16 16:07:48.411241 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-16 16:07:48.520660 ; Searcher       ; Debug       ; Ordered 19 assemblies according to references. [108 ms]
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found 14 plugin assemblies containing 303 plugin types. [178 ms]
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 1.5.1+16a9625a.16a9625af16be37b607c78294dd086bd05fdd1c1 of Keysight.OpenTap.Licensing.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Plugins.BasicSteps.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.27.0+f0e134d7.f0e134d7c967fbd3949acf3affed360905d1398e of Keysight.OpenTap.Wpf.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.27.0+f0e134d7.f0e134d7c967fbd3949acf3affed360905d1398e of PackageManager.exe
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.27.0+f0e134d7.f0e134d7c967fbd3949acf3affed360905d1398e of Editor.exe
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 0.0.0            of InterconnectIOBox.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.14.0+7676a2a2  of Csv.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 1.4.3+0968b4c4   of OpenTap.OSIntegration.Windows.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.6.0+558afbf4.558afbf44f139d4cc5acf537e8c72ed4c5efb9cc of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.6.0+558afbf4.558afbf44f139d4cc5acf537e8c72ed4c5efb9cc of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 9.6.0+558afbf4.558afbf44f139d4cc5acf537e8c72ed4c5efb9cc of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Found version 1.1.1+507fd903   of OpenTap.Tui.dll
2025-03-16 16:07:48.587919 ; PluginManager  ; Debug       ; Searched 21 Assemblies. [181 ms]
2025-03-16 16:07:48.633513 ; AssemblyData   ; Debug       ; Loaded OpenTap. [724 us]
2025-03-16 16:07:48.633513 ; AssemblyData   ; Debug       ; Loaded OpenTap. [349 us]
2025-03-16 16:07:48.654734 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [13.0 ms]
2025-03-16 16:07:48.659870 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [24.7 ms]
2025-03-16 16:07:48.669812 ; AssemblyData   ; Debug       ; Loaded OpenTap.Tui. [9.49 ms]
2025-03-16 16:07:48.671819 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [199 us]
2025-03-16 16:07:48.695240 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-03-16 16:07:48.695240 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9290.0
2025-03-16 16:07:48.700467 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.0+11e5348d X64
2025-03-16 16:07:48.706496 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [10.1 ms]
2025-03-16 16:07:48.777679 ; AssemblyData   ; Debug       ; Loaded mscorlib. [1.10 us]
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; CSV                      - 9.14.0+7676a2a2
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; Editor                   - 9.27.0+f0e134d7
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; Keysight Licensing       - 1.5.1+16a9625a
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; OpenTAP                  - 9.27.0+11e5348d
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; OSIntegration            - 1.4.3+0968b4c4
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; SQLite and PostgreSQL    - 9.6.0+558afbf4
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; TUI                      - 1.1.1+507fd903
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; WPF Controls             - 9.27.0+f0e134d7
2025-03-16 16:07:48.964672 ; Installation   ; Debug       ; PathWave License Manager - 2.7.0+398d3a87
2025-03-16 16:07:48.980243 ; Settings       ; Debug       ; EditorSettings loaded from C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Settings\Editor.xml [578 ms]
2025-03-16 16:07:48.983426 ; Resolver       ; Debug       ; Found match for MahApps.Metro, Version=1.3.0.0, Culture=neutral, PublicKeyToken=f4fb5a3c4d1e5b4f in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Dependencies\MahApps.Metro.1.3.0.0\MahApps.Metro.dll
2025-03-16 16:07:48.989825 ; Resolver       ; Debug       ; Found match for Keysight.Ccl.Wsl, Version=6.6.0.0, Culture=neutral, PublicKeyToken=55333af07c70062e in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Dependencies\Keysight.Ccl.Wsl.6.6.0.0\Keysight.Ccl.Wsl.dll
2025-03-16 16:07:49.127323 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.27.0, Culture=neutral in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2025-03-16 16:07:49.127323 ; GUI            ; Debug       ; Loaded OsTheme Theme. [15.9 ms]
