2025-03-17 09:47:15.140082 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\tap 2025-03-17 09-47-14.txt'. [1.23 ms]
2025-03-17 09:47:15.155938 ; Session        ; Debug       ; Running '.\tap  package create "C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\\package.xml" --install' in 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release'.
2025-03-17 09:47:15.184759 ; AssemblyFinder ; Debug       ; Found 9/30 assembly files. [6.07 ms]
2025-03-17 09:47:15.203615 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-17 09:47:15.225596 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-17 09:47:15.298682 ; Searcher       ; Debug       ; Ordered 7 assemblies according to references. [89.3 ms]
2025-03-17 09:47:15.346216 ; PluginManager  ; Debug       ; Found 4 plugin assemblies containing 226 plugin types. [136 ms]
2025-03-17 09:47:15.346216 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-17 09:47:15.346216 ; PluginManager  ; Debug       ; Found version 0.0.0            of InterconnectIOBox.dll
2025-03-17 09:47:15.346216 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
2025-03-17 09:47:15.346216 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Plugins.BasicSteps.dll
2025-03-17 09:47:15.346216 ; PluginManager  ; Debug       ; Searched 9 Assemblies. [138 ms]
2025-03-17 09:47:15.364340 ; AssemblyData   ; Debug       ; Loaded OpenTap. [332 us]
2025-03-17 09:47:15.377487 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [5.67 ms]
2025-03-17 09:47:15.406245 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\SessionLog 2025-03-17 09-47-14.txt'. [1.98 ms]
2025-03-17 09:47:15.414382 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.47 ms]
2025-03-17 09:47:15.424415 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-03-17 09:47:15.424415 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9290.0
2025-03-17 09:47:15.424415 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.0+11e5348d X64
2025-03-17 09:47:15.429486 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [2.58 ms]
2025-03-17 09:47:15.466022 ; AssemblyData   ; Debug       ; Loaded mscorlib. [300 ns]
2025-03-17 09:47:15.498505 ; CLI            ; Debug       ; Executing CLI action: package \ create
2025-03-17 09:47:15.508988 ; VariableExpander ; Debug       ; Initialized variable expander:
2025-03-17 09:47:15.515002 ; Resolver       ; Debug       ; Found match for LibGit2Sharp, Version=0.27.0.0, Culture=neutral, PublicKeyToken=7cbde695407f0333 in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\LibGit2Sharp.0.27.0.0\LibGit2Sharp.dll
2025-03-17 09:47:15.568420 ; Installation   ; Debug       ; FTS_InterconnectIOBox    - 0.0.1-beta.1+4f9f8c8f
2025-03-17 09:47:15.568420 ; Installation   ; Debug       ; OpenTAP                  - 9.27.0+11e5348d
2025-03-17 09:47:15.568420 ; Installation   ; Debug       ; PathWave License Manager - 2.7.0+398d3a87
2025-03-17 09:47:15.597874 ; GitVersion     ; Warning     ; Did not find any .gitversion file.
2025-03-17 09:47:15.597874 ; GitVersion     ; Debug       ; Using configuration from 
